Captain Details :
Name: Rohit, Age: 32, Team: Mi
Name: Hardik, Age: 31, Team: GT
Name: Dhoni, Age: 39, Team: CSK
Name: Rishabh, Age: 29, Team: DC
Name: Virat, Age: 30, Team: RCB

Voiting Sequence ::
Voter-1 Voted for Dhoni
Voter-2 Voted for Rohit
Voter-3 Voted for Dhoni
Voter-4 Voted for Dhoni
Voter-5 Voted for Rohit
Voter-6 Voted for Rohit
Voter-7 Voted for Rohit
Voter-8 Voted for Dhoni
Voter-9 Voted for Rohit
Voter-10 Voted for Dhoni
Voter-11 Voted for Dhoni
Voter-12 Voted for Hardik
Voter-13 Voted for Hardik
Voter-14 Voted for Rohit
Voter-15 Voted for Rishabh
Voter-16 Voted for Hardik
Voter-17 Voted for Rishabh
Voter-18 Voted for Dhoni
Voter-19 Voted for Rishabh
Voter-20 Voted for Virat
Voter-21 Voted for Rishabh
Voter-22 Voted for Virat
Voter-23 Voted for Dhoni
Voter-24 Voted for Rohit
Voter-25 Voted for Hardik
Voter-26 Voted for Rohit
Voter-27 Voted for Rohit
Voter-28 Voted for Hardik
Voter-29 Voted for Hardik
Voter-30 Voted for Virat
Voter-31 Voted for Virat
Voter-32 Voted for Rohit
Voter-33 Voted for Dhoni
Voter-34 Voted for Rohit
Voter-35 Voted for Rohit
Voter-36 Voted for Hardik
Voter-37 Voted for Virat
Voter-38 Voted for Dhoni
Voter-39 Voted for Dhoni
Voter-40 Voted for Rishabh
Voter-41 Voted for Dhoni
Voter-42 Voted for Hardik
Voter-43 Voted for Rohit
Voter-44 Voted for Virat
Voter-45 Voted for Hardik
Voter-46 Voted for Rishabh
Voter-47 Voted for Rohit
Voter-48 Voted for Hardik
Voter-49 Voted for Hardik
Voter-50 Voted for Rohit

Vote Count :: Rohit got 30.0% votes
Hardik got 22.0% votes
Dhoni got 24.0% votes
Rishabh got 12.0% votes
Virat got 12.0% votes
